epoch,shortterm,midterm,longterm
1525186140,0.023804,0.056885,0.049561
1525187040,0.035767,0.047485,0.043701
1525187940,0.057861,0.050293,0.042480
1525188840,0.098267,0.099609,0.072266
1525189740,0.083618,0.091187,0.079468
1525190640,0.055298,0.063843,0.063354
1525191540,0.046875,0.056152,0.058960
1525192440,0.091187,0.062622,0.058716
1525193340,0.067871,0.060303,0.059937
1525194240,0.085571,0.056763,0.052612
1525195140,0.020874,0.054810,0.055176
1525196040,0.125122,0.062500,0.048096
1525196940,0.040649,0.041870,0.040649
1525197840,0.032471,0.049194,0.042114
1525198740,0.073853,0.088501,0.071045
1525199640,0.119995,0.072998,0.064697
1525200540,0.030518,0.043335,0.046265
1525201440,0.037842,0.042969,0.040894
1525202340,0.054810,0.049927,0.042358
1525203240,0.120728,0.077271,0.053589
1525204140,0.068970,0.086670,0.074585
1525205040,0.071289,0.083496,0.079834
1525205940,0.046265,0.059326,0.068848
1525206840,0.064209,0.083374,0.069214
1525207740,0.055054,0.046753,0.051758
1525208640,0.170410,0.088867,0.064575
1525209540,0.067627,0.092407,0.092163
1525210440,0.078003,0.087646,0.083130
1525211340,0.032959,0.043457,0.059204
1525212240,0.036377,0.054810,0.057861
1525213140,0.054565,0.078369,0.071655
1525214040,0.026611,0.041138,0.051514
1525214940,0.065186,0.067505,0.061768
1525215840,0.071411,0.055298,0.055176
1525229081,0.041260,0.045044,0.045654
1525229081,0.041260,0.045044,0.045654
1525229981,0.059692,0.102051,0.105835
1525230881,0.077148,0.067017,0.073730
1525231781,0.080200,0.074341,0.064575
1525232681,0.122437,0.099487,0.075806
1525233581,0.085815,0.076050,0.073486
1525234481,0.074585,0.064087,0.062012
1525235381,0.024902,0.047241,0.053345
1525236281,0.107910,0.081543,0.065918
1525237181,0.038696,0.075684,0.080688
1525238081,0.204834,0.181152,0.130737
1525238981,0.231445,0.158325,0.137695
1525239881,0.067505,0.089355,0.109497
1525240781,0.047852,0.088745,0.107910
1525241681,0.094360,0.085693,0.083618
1525242581,0.047363,0.043335,0.052856
1525243481,0.047363,0.031982,0.036621
1525244381,0.055054,0.042236,0.040039
1525245281,0.034668,0.041626,0.040039
1525246181,0.088867,0.065918,0.048706
1525247081,0.049072,0.051880,0.042236
1525247981,0.045166,0.048828,0.041382
1525248881,0.067261,0.061768,0.047852
1525249781,0.039917,0.056519,0.045654
1525250681,0.017822,0.030273,0.033081
1525251581,0.034668,0.033691,0.034546
1525252481,0.053223,0.051880,0.045166
1525253381,0.028687,0.050049,0.050659
1525254281,0.021118,0.042358,0.040649
1525255181,0.059204,0.047974,0.041870
1525256081,0.206421,0.141968,0.086670
1525256981,0.105713,0.087158,0.073486
1525257881,0.048950,0.060913,0.068359
1525258781,0.024414,0.036621,0.046753
1525259681,0.245239,0.109619,0.071045
1525260581,0.042236,0.063965,0.069092
1525261481,0.016724,0.054077,0.059692
1525262381,0.018433,0.078003,0.076660
1525263281,0.042480,0.057617,0.061890
1525264181,0.040161,0.041138,0.044189
1525265081,0.059082,0.090698,0.064575
1525265981,0.129272,0.080811,0.073486
1525266881,0.228516,0.164551,0.112915
1525267781,0.083130,0.058594,0.067627
1525268681,0.062378,0.063965,0.061523
1525269581,0.066895,0.069702,0.062500
1525270481,0.061768,0.080322,0.065674
1525271381,0.123657,0.089478,0.072021
1525272281,0.056885,0.045532,0.051514
1525273181,0.108887,0.056519,0.046387
1525274081,0.072266,0.119629,0.080078
1525274981,0.033447,0.058350,0.070190
1525275881,0.028198,0.050781,0.058105
1525276781,0.067261,0.059937,0.057495
1525277681,0.024780,0.028809,0.038452
1525278581,0.053955,0.049561,0.041748
1525279481,0.086304,0.065308,0.048096
1525281698,0.019165,0.047485,0.041870
1525281698,0.019165,0.047485,0.041870
1525282598,0.039551,0.034302,0.038086
1525283498,0.017700,0.022827,0.026367
1525284398,0.023560,0.034790,0.024292
1525285298,0.093506,0.078857,0.053101
1525286198,0.051025,0.066162,0.069458
1525287098,0.054077,0.057861,0.059082
1525287998,0.080200,0.071655,0.062744
1525288898,0.478638,0.375122,0.247192
1525289798,0.393066,0.390991,0.347046
1525290698,0.368164,0.383545,0.365723
1525291598,0.459229,0.463867,0.432129
1525292498,0.286865,0.354980,0.381958
1525293398,0.180786,0.178833,0.232910
1525294298,0.278198,0.260864,0.242920
1525295198,0.192505,0.183716,0.200806
1525296098,0.109375,0.185669,0.207153
1525296098,0.109375,0.185669,0.207153
1525296998,0.137085,0.126221,0.138184
1525297898,0.077881,0.092529,0.109619
